lr-Adam,step,val_loss,epoch,train_loss,test_loss
0.0005,0,,,,
,52,0.023267695680260658,0,,
,52,,0,0.02551046758890152,
0.0005,53,,,,
,105,0.02192547358572483,1,,
,105,,1,0.022534657269716263,
0.0005,106,,,,
,158,0.02093626745045185,2,,
,158,,2,0.02100083790719509,
0.0005,159,,,,
,211,0.020695552229881287,3,,
,211,,3,0.020495764911174774,
0.0005,212,,,,
,264,0.02050897106528282,4,,
,264,,4,0.020272914320230484,
0.0005,265,,,,
,317,0.020732680335640907,5,,
,317,,5,0.020156370475888252,
0.0005,318,,,,
,370,0.022092295810580254,6,,
,370,,6,0.019972506910562515,
0.0005,371,,,,
,423,0.020086245611310005,7,,
,423,,7,0.019222524017095566,
0.0005,424,,,,
,476,0.017253156751394272,8,,
,476,,8,0.017952075228095055,
0.0005,477,,,,
,529,0.016035571694374084,9,,
,529,,9,0.01616740971803665,
0.0005,530,,,,
,582,0.01495340559631586,10,,
,582,,10,0.014919765293598175,
0.0005,583,,,,
,635,0.013623425737023354,11,,
,635,,11,0.013808407820761204,
0.0005,636,,,,
,688,0.012728959321975708,12,,
,688,,12,0.012825747020542622,
0.0005,689,,,,
,741,0.011247747577726841,13,,
,741,,13,0.011461077257990837,
0.0005,742,,,,
,794,0.01000055018812418,14,,
,794,,14,0.010061666369438171,
0.0005,795,,,,
,847,0.009598984383046627,15,,
,847,,15,0.008794019930064678,
0.0005,848,,,,
,900,0.008398334495723248,16,,
,900,,16,0.00777522474527359,
0.0005,901,,,,
,953,0.0072026546113193035,17,,
,953,,17,0.006891652476042509,
0.0005,954,,,,
,1006,0.007183863781392574,18,,
,1006,,18,0.006038835272192955,
0.0005,1007,,,,
,1059,0.005305195227265358,19,,
,1059,,19,0.004916701000183821,
0.0005,1060,,,,
,1112,0.004678781609982252,20,,
,1112,,20,0.003958164714276791,
0.0005,1113,,,,
,1165,0.004308102652430534,21,,
,1165,,21,0.0034338287077844143,
0.0005,1166,,,,
,1218,0.0037355010863393545,22,,
,1218,,22,0.0029601578135043383,
0.0005,1219,,,,
,1271,0.0038515490014106035,23,,
,1271,,23,0.0025675506331026554,
0.0005,1272,,,,
,1324,0.0036200766917318106,24,,
,1324,,24,0.002405017614364624,
0.0005,1325,,,,
,1377,0.003287159837782383,25,,
,1377,,25,0.0021466987673193216,
0.0005,1378,,,,
,1430,0.0031452090479433537,26,,
,1430,,26,0.0019019037717953324,
0.0005,1431,,,,
,1483,0.0036500270944088697,27,,
,1483,,27,0.0017281767213717103,
0.0005,1484,,,,
,1536,0.0031805401667952538,28,,
,1536,,28,0.0015763463452458382,
0.0005,1537,,,,
,1589,0.0030355541966855526,29,,
,1589,,29,0.0014269441599026322,
0.0005,1590,,,,
,1642,0.00317682814784348,30,,
,1642,,30,0.00129924644716084,
0.0005,1643,,,,
,1695,0.00299143441952765,31,,
,1695,,31,0.0011910920729860663,
0.0005,1696,,,,
,1748,0.003096747910603881,32,,
,1748,,32,0.00110933231189847,
0.0005,1749,,,,
,1801,0.003061063587665558,33,,
,1801,,33,0.001126785995438695,
0.0005,1802,,,,
,1854,0.0030588957015424967,34,,
,1854,,34,0.0010119184153154492,
0.0005,1855,,,,
,1907,0.0030792714096605778,35,,
,1907,,35,0.0009143243660219014,
0.0005,1908,,,,
,1960,0.002968176268041134,36,,
,1960,,36,0.000901426188647747,
0.0005,1961,,,,
,2013,0.0029443607199937105,37,,
,2013,,37,0.0008257708395831287,
0.0005,2014,,,,
,2066,0.0029829663690179586,38,,
,2066,,38,0.0007524381508119404,
0.0005,2067,,,,
,2119,0.0029470776207745075,39,,
,2119,,39,0.0007327721104957163,
0.0005,2120,,,,
,2172,0.0030984727200120687,40,,
,2172,,40,0.0006261254893615842,
0.0005,2173,,,,
,2225,0.0029787905514240265,41,,
,2225,,41,0.0006376730743795633,
0.0005,2226,,,,
,2278,0.0031775226816534996,42,,
,2278,,42,0.0006494505214504898,
0.0005,2279,,,,
,2331,0.003236937103793025,43,,
,2331,,43,0.0005891681648790836,
0.0005,2332,,,,
,2384,0.0029996647499501705,44,,
,2384,,44,0.0005656055291183293,
0.0005,2385,,,,
,2437,0.0030733963940292597,45,,
,2437,,45,0.000530799909029156,
0.0005,2438,,,,
,2490,0.003057624213397503,46,,
,2490,,46,0.0004600519023369998,
0.0005,2491,,,,
,2543,0.0030036696698516607,47,,
,2543,,47,0.00041940153460018337,
0.0005,2544,,,,
,2596,0.003142569912597537,48,,
,2596,,48,0.00044873901060782373,
5e-05,2597,,,,
,2649,0.002867182018235326,49,,
,2649,,49,0.0002848235017154366,
5e-05,2650,,,,
,2702,0.0028819453436881304,50,,
,2702,,50,0.00024938597925938666,
5e-05,2703,,,,
,2755,0.002866853028535843,51,,
,2755,,51,0.00022094299492891878,
5e-05,2756,,,,
,2808,0.0028472188860177994,52,,
,2808,,52,0.0002108442276949063,
5e-05,2809,,,,
,2861,0.0028396376874297857,53,,
,2861,,53,0.00021422702411655337,
5e-05,2862,,,,
,2914,0.0028550305869430304,54,,
,2914,,54,0.00019164792320225388,
5e-05,2915,,,,
,2967,0.0028382872696965933,55,,
,2967,,55,0.00019485362281557173,
5e-05,2968,,,,
,3020,0.0028453499544411898,56,,
,3020,,56,0.00018214729789178818,
5e-05,3021,,,,
,3073,0.002883619861677289,57,,
,3073,,57,0.00016943069931585342,
5e-05,3074,,,,
,3126,0.0028599780052900314,58,,
,3126,,58,0.00017679129086900502,
5e-05,3127,,,,
,3179,0.0028521292842924595,59,,
,3179,,59,0.00016774229879956692,
5e-05,3180,,,,
,3232,0.0028784216847270727,60,,
,3232,,60,0.00017266691429540515,
5e-05,3233,,,,
,3285,0.002854191232472658,61,,
,3285,,61,0.0001713611709419638,
5e-05,3286,,,,
,3338,0.002854524180293083,62,,
,3338,,62,0.00015720435476396233,
5e-05,3339,,,,
,3391,0.002838701941072941,63,,
,3391,,63,0.00015581586922053248,
5e-05,3392,,,,
,3444,0.0028743911534547806,64,,
,3444,,64,0.00017095133080147207,
5e-05,3445,,,,
,3497,0.002858587075024843,65,,
,3497,,65,0.00015675307076890022,
5e-05,3498,,,,
,3550,0.002842443296685815,66,,
,3550,,66,0.0001450931595172733,
5e-06,3551,,,,
,3603,0.0028477266896516085,67,,
,3603,,67,0.00014761289639864117,
5e-06,3604,,,,
,3656,0.002854923950508237,68,,
,3656,,68,0.00013929691340308636,
5e-06,3657,,,,
,3709,0.0028536624740809202,69,,
,3709,,69,0.00013253399811219424,
5e-06,3710,,,,
,3762,0.0028294003568589687,70,,
,3762,,70,0.00015146785881370306,
5e-06,3763,,,,
,3815,0.0028398297727108,71,,
,3815,,71,0.00015050533693283796,
5e-06,3816,,,,
,3868,0.0028328699991106987,72,,
,3868,,72,0.00014755128358956426,
5e-06,3869,,,,
,3921,0.002853918122127652,73,,
,3921,,73,0.0001390670076943934,
5e-06,3922,,,,
,3974,0.002827025018632412,74,,
,3974,,74,0.00014896047650836408,
5e-06,3975,,,,
,4027,0.002857122803106904,75,,
,4027,,75,0.00013423754717223346,
5e-06,4028,,,,
,4080,0.0028895947616547346,76,,
,4080,,76,0.00013968271377962083,
5e-06,4081,,,,
,4133,0.0028452244587242603,77,,
,4133,,77,0.00013783390750177205,
5e-06,4134,,,,
,4186,0.002840780420228839,78,,
,4186,,78,0.00013250033953227103,
5e-06,4187,,,,
,4239,0.0028469101525843143,79,,
,4239,,79,0.0001397478044964373,
5e-06,4240,,,,
,4292,0.0028330490458756685,80,,
,4292,,80,0.0001403887290507555,
5e-06,4293,,,,
,4345,0.002833040663972497,81,,
,4345,,81,0.00014017308421898633,
5e-06,4346,,,,
,4398,0.002841331996023655,82,,
,4398,,82,0.0001413099089404568,
5e-06,4399,,,,
,4451,0.0028520377818495035,83,,
,4451,,83,0.00013581945677287877,
5e-06,4452,,,,
,4504,0.0028604716062545776,84,,
,4504,,84,0.00014741778431925923,
5e-06,4505,,,,
,4557,0.002843317110091448,85,,
,4557,,85,0.00014830275904387236,
5e-06,4558,,,,
,4610,0.0028676989022642374,86,,
,4610,,86,0.0001410535187460482,
5e-06,4611,,,,
,4663,0.0028576587792485952,87,,
,4663,,87,0.0001462891377741471,
5e-06,4664,,,,
,4716,0.0028608294669538736,88,,
,4716,,88,0.00012880352733191103,
5e-06,4717,,,,
,4769,0.0028925035148859024,89,,
,4769,,89,0.0001364476775052026,
5e-06,4770,,,,
,4822,0.0028598445933312178,90,,
,4822,,90,0.00013798520376440138,
5e-06,4823,,,,
,4875,0.0028683810960501432,91,,
,4875,,91,0.00012247345875948668,
5e-06,4876,,,,
,4928,0.0028427396900951862,92,,
,4928,,92,0.00012611449346877635,
5e-06,4929,,,,
,4981,0.002878038212656975,93,,
,4981,,93,0.00013952954031992704,
5e-06,4982,,,,
,5034,0.0028713601641356945,94,,
,5034,,94,0.0001461439678678289,
5e-06,5035,,,,
,5087,0.0028378665447235107,95,,
,5087,,95,0.00013587284774985164,
5e-06,5088,,,,
,5140,0.0028896955773234367,96,,
,5140,,96,0.00012251612497493625,
5e-06,5141,,,,
,5193,0.00289171957410872,97,,
,5193,,97,0.00012869786587543786,
5e-06,5194,,,,
,5246,0.002856125822290778,98,,
,5246,,98,0.00015331670874729753,
5e-06,5247,,,,
,5299,0.0028409671504050493,99,,
,5299,,99,0.00013343019236344844,
,5300,,100,,0.002845069859176874
,5300,,100,,0.00013181139365769923
